time,MAC,packet
2024-04-26 06:17:59.878205,10:51:07:88:6a:80,Ether / fe80::c0d7:3fa8:fd8a:56db > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:17:59.878350,7e:b4:d2:17:13:23,"Ether / IP / UDP / DNS Qry ""b'Le Petit Prince._rdlink._tcp.local.'"" "
2024-04-26 06:17:59.883706,7e:b4:d2:17:13:23,"Ether / IPv6 / UDP / DNS Qry ""b'Le Petit Prince._rdlink._tcp.local.'"" "
2024-04-26 06:17:59.883707,a6:04:90:52:97:80,"Ether / IPv6 / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883707,a6:04:90:52:97:80,"Ether / IPv6 / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883707,a6:04:90:52:97:80,"Ether / IPv6 / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883708,a6:04:90:52:97:80,"Ether / IPv6 / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883708,a6:04:90:52:97:80,"Ether / IPv6 / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883708,e4:5f:01:85:05:02,Ether / fe80::df7:181f:ca68:ac57 > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:17:59.883708,a6:04:90:52:97:80,"Ether / IP / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883776,a6:04:90:52:97:80,"Ether / IP / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883776,a6:04:90:52:97:80,"Ether / IP / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883776,a6:04:90:52:97:80,"Ether / IP / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.883776,a6:04:90:52:97:80,"Ether / IP / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
2024-04-26 06:17:59.885513,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:netbios_ns > 100.64.135.255:netbios_ns / NBNSHeader / NBNSRegistrationRequest
2024-04-26 06:17:59.980453,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:netbios_ns > 100.64.135.255:netbios_ns / NBNSHeader / NBNSRegistrationRequest
2024-04-26 06:17:59.982766,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:netbios_ns > 100.64.135.255:netbios_ns / NBNSHeader / NBNSRegistrationRequest
2024-04-26 06:17:59.982767,f8:63:3f:92:e0:69,Ether / fe80::b22c:cd44:f0f5:b48a > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:17:59.985055,7e:b4:d2:17:13:23,"Ether / IP / UDP / DNS Qry ""b'Le-Petit-Prince.local.'"" "
2024-04-26 06:17:59.985056,72:a9:dc:54:e5:85,"Ether / IP / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
