02:47:11.286710 00:0c:29:49:04:db > 33:33:00:00:00:16, ethertype IPv6 (0x86dd), length 330: (hlim 1, next-header Options (0) payload length: 276) fe80::f396:bb03:162c:7a59 > ff02::16: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener report v2, 13 group record(s) [gaddr ff02::1:ff89:63ec to_ex, 0 source(s)] [gaddr ff02::1:ff4a:5923 to_ex, 0 source(s)] [gaddr ff02::1:ff7f:e1f7 to_ex, 0 source(s)] [gaddr ff02::1:ff4a:8955 to_ex, 0 source(s)] [gaddr ff02::1:ffaa:1e8 to_ex, 0 source(s)] [gaddr ff02::1:ff32:5fb5 to_ex, 0 source(s)] [gaddr ff02::1:ff38:1339 to_ex, 0 source(s)] [gaddr ff02::1:ff56:bffb to_ex, 0 source(s)] [gaddr ff02::1:ff80:309b to_ex, 0 source(s)] [gaddr ff02::1:fffc:ee73 to_ex, 0 source(s)] [gaddr ff02::1:ff2c:7a59 to_ex, 0 source(s)] [gaddr ff02::1:ff00:4 to_ex, 0 source(s)] [gaddr ff02::fb to_ex, 0 source(s)]
02:47:11.358358 00:0c:29:ab:0f:fa > 00:0c:29:b8:a9:4d, ethertype IPv6 (0x86dd), length 86: (flowlabel 0xce693, hlim 64, next-header TCP (6) payload length: 32) 2001:f:b:a:8113:10ce:5b30:a7be.49946 > 2a02:26f0:e300::211:9312.80: Flags [S], cksum 0xe6d0 (correct), seq 4180430991, win 64800, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
02:47:11.498829 00:0c:29:4e:8c:88 > 00:0c:29:b8:a9:4d, ethertype IPv6 (0x86dd), length 86: (flowlabel 0xc2526, hlim 64, next-header TCP (6) payload length: 32) 2001:f:b:a:5ca:a3ff:d244:5ddf.51356 > 2606:2800:133:672:1e5f:2264:1854:1189.80: Flags [S], cksum 0xa41f (correct), seq 1399781162, win 64800, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
02:47:11.598266 00:0c:29:2a:8e:72 > 00:0c:29:b8:a9:4d, ethertype IPv6 (0x86dd), length 86: (flowlabel 0xd3127, hlim 64, next-header TCP (6) payload length: 32) 2001:f:b:a:9487:792:47ae:703e.50135 > 2a02:26f0:e300::211:9312.80: Flags [S], cksum 0xb6ec (correct), seq 1534615093, win 64800, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
02:47:11.598266 00:0c:29:4e:8c:88 > 00:0c:29:b8:a9:4d, ethertype IPv6 (0x86dd), length 86: (flowlabel 0x73cd8, hlim 64, next-header TCP (6) payload length: 32) 2001:f:b:a:5ca:a3ff:d244:5ddf.51366 > 2a02:26f0:e300::211:9312.80: Flags [S], cksum 0xb645 (correct), seq 3058596175, win 64800, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
02:47:11.610063 00:0c:29:2a:8e:72 > 00:0c:29:b8:a9:4d, ethertype IPv6 (0x86dd), length 86: (flowlabel 0x1adc3, hlim 64, next-header TCP (6) payload length: 32) 2001:f:b:a:9487:792:47ae:703e.50132 > 2a02:26f0:e300::211:9312.80: Flags [S], cksum 0xcd57 (correct), seq 963013087, win 64800, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
02:47:11.763656 00:50:56:c0:00:02 > 33:33:ff:c0:05:ff, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::87ee:f1:2dc0:5ff > ff02::1:ffc0:5ff: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::1:ffc0:5ff
02:47:11.763672 00:50:56:c0:00:02 > 33:33:00:00:00:fb, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::87ee:f1:2dc0:5ff > ff02::fb: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::fb
02:47:11.763721 00:50:56:c0:00:02 > 33:33:00:00:00:0c, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::87ee:f1:2dc0:5ff > ff02::c: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::c
02:47:11.763721 00:50:56:c0:00:02 > 33:33:00:01:00:03, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::87ee:f1:2dc0:5ff > ff02::1:3: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::1:3
02:47:11.766071 00:50:56:c0:00:02 > 33:33:ff:c0:05:ff, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::87ee:f1:2dc0:5ff > ff02::1:ffc0:5ff: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::1:ffc0:5ff
02:47:11.766071 00:50:56:c0:00:02 > 33:33:00:00:00:fb, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::87ee:f1:2dc0:5ff > ff02::fb: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::fb
02:47:11.766123 00:50:56:c0:00:02 > 33:33:00:00:00:0c, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::87ee:f1:2dc0:5ff > ff02::c: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::c
02:47:11.766131 00:50:56:c0:00:02 > 33:33:00:01:00:03, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::87ee:f1:2dc0:5ff > ff02::1:3: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::1:3
02:47:11.775732 00:0c:29:2a:8e:72 > 33:33:00:00:00:0c, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::e734:2b41:5223:b9c9 > ff02::c: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::c
02:47:11.775732 00:0c:29:2a:8e:72 > 33:33:00:00:00:fb, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::e734:2b41:5223:b9c9 > ff02::fb: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::fb
02:47:11.776336 00:0c:29:2a:8e:72 > 33:33:00:01:00:03, ethertype IPv6 (0x86dd), length 86: (hlim 1, next-header Options (0) payload length: 32) fe80::e734:2b41:5223:b9c9 > ff02::1:3: HBH (rtalert: 0x0000) (padn) [icmp6 sum ok] ICMP6, multicast listener reportmax resp delay: 0 addr: ff02::1:3
