time,MAC,packet
2024-05-07 02:47:11.763656,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::1:ffc0:5ff (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.763673,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.763722,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.763722,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.766072,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::1:ffc0:5ff (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.766072,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.766123,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.766132,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.775733,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.775733,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776337,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776337,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff00:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776337,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff0a:2a8 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776337,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff23:b9c9 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776337,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff46:914f (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776337,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff86:9433 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776337,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ffa2:8947 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776337,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ffae:703e (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.776355,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:fff0:edab (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.777459,00:0c:29:8d:e4:6d,Ether / fe80::3179:3a32:e87c:605c > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-05-07 02:47:11.777579,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.777579,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.777580,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.777580,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff00:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.778475,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff2a:f730 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.778475,ca:01:06:01:00:00,Ether / fe80::c801:6ff:fe01:0 > ff02::2 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.778475,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff00:a5 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.778475,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794268,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:ffa4:642e (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794330,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:ff00:ac (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794330,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794330,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794330,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794330,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:ffa4:642e (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794330,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:ff44:5ddf (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794330,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:ff00:ac (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794683,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff0a:2a8 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794683,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff23:b9c9 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794683,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff46:914f (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794683,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ff86:9433 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794683,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ffa2:8947 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794683,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:ffae:703e (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.794683,00:0c:29:2a:8e:72,Ether / fe80::e734:2b41:5223:b9c9 > ff02::1:fff0:edab (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795061,00:0c:29:e8:8d:81,Ether / fe80::20c:29ff:fee8:8d81 > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-05-07 02:47:11.795161,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795231,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795290,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff2a:f730 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795344,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff00:a5 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795344,ca:01:06:01:00:00,Ether / fe80::c801:6ff:fe01:0 > ff02::1:ff00:1 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795344,ca:01:06:01:00:00,Ether / fe80::c801:6ff:fe01:0 > ff02::1:ff01:0 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795344,ca:01:06:01:00:00,Ether / fe80::c801:6ff:fe01:0 > ff02::2 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795368,ca:01:06:01:00:00,Ether / fe80::c801:6ff:fe01:0 > ff02::1:ff00:1 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795368,ca:01:06:01:00:00,Ether / fe80::c801:6ff:fe01:0 > ff02::1:ff01:0 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795693,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795744,00:0c:29:8d:e4:6d,Ether / fe80::3179:3a32:e87c:605c > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-05-07 02:47:11.795865,00:0c:29:49:04:db,Ether / fe80::f396:bb03:162c:7a59 > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-05-07 02:47:11.795865,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff30:a7be (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795925,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.795980,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff30:a7be (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.797181,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.797287,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.797396,00:0c:29:4e:8c:88,Ether / fe80::a0e0:c25a:14a4:642e > ff02::1:ff44:5ddf (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.797995,00:0c:29:2a:8e:72,Ether / IPv6 / TCP 2001:f:b:a:9487:792:47ae:703e:50133 > 2a02:26f0:e300::211:9312:http S
2024-05-07 02:47:11.901869,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::1:ffc0:5ff (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.901919,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.901931,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.901988,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.903753,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::1:ffc0:5ff (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.903781,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::fb (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.903828,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::c (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.903862,00:50:56:c0:00:02,Ether / fe80::87ee:f1:2dc0:5ff > ff02::1:3 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.918274,00:0c:29:ab:0f:fa,Ether / fe80::c517:46a5:862a:f730 > ff02::1:ff2a:f730 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
2024-05-07 02:47:11.918274,00:0c:29:8d:e4:6d,Ether / fe80::3179:3a32:e87c:605c > ff02::1:ffc3:9c8d (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport
